$GPGGA,142519.000,1024.15628,N,07530.35503,W,1,03,4.1,0.0,M,,M,,0000*52
$GPGGA,142521.000,1024.15666,N,07530.35382,W,1,03,4.1,0.0,M,,M,,0000*5C

$GPGGA,142523.000,1024.16111,N,07530.35122,W,1,03,4.1,0.0,M,,M,,0000*52
$GPGGA,142524.000,1024.15818,N,07530.34950,W,1,03,4.1,0.0,M,,M,,0000*5A
$GPGGA,142526.000,1024.16081,N,07530.35025,W,1,03,4.1,0.0,M,,M,,0000*59

$GPGGA,142528.000,1024.15856,N,07530.34946,W,1,03,4.1,0.0,M,,M,,0000*5B
$GPGGA,142529.000,1024.15987,N,07530.34880,W,1,03,4.1,0.0,M,,M,,0000*5C
$GPGGA,142531.000,1024.15924,N,07530.35043,W,1,03,4.1,0.0,M,,M,,0000*5A

$GPGGA,142533.000,1024.15937,N,07530.35038,W,1,03,4.1,0.0,M,,M,,0000*56
$GPGGA,142534.000,1024.16406,N,07530.35167,W,1,03,4.1,0.0,M,,M,,0000*56

$GPGGA,142536.000,1024.16743,N,07530.34924,W,1,03,4.1,0.0,M,,M,,0000*58
$GPGGA,142537.000,,,,,0,00,,,M,,M,,0000*7E
$GPGGA,142539.000,,,,,0,00,,,M,,M,,0000*70

$GPGGA,142541.000,,,,,0,00,,,M,,M,,0000*7F
$GPGGA,142542.000,,,,,0,00,,,M,,M,,0000*7C
$GPGGA,142544.000,,,,,0,00,,,M,,M,,0000*7A

$GPGGA,142546.000,,,,,0,00,,,M,,M,,0000*78
$GPGGA,142547.000,,,,,0,00,,,M,,M,,0000*79
$GPGGA,142549.000,,,,,0,00,,,M,,M,,0000*77

$GPGGA,142551.000,,,,,0,00,,,M,,M,,0000*7E
$GPGGA,142552.000,1024.17025,N,07530.34672,W,1,03,4.1,0.0,M,,M,,0000*50
